name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"DTLB-misses","ITLB-misses","L1D-misses","L1I-misses","LLC-misses","avg_size","bits","branch-misses","cycles","duration","failures","fpr","instructions","retries","size","task-clock"
"Xor_Nonpart_Scalar_4/MTCount/300/10/1/10000/100000000/10/iterations:5/manual_time",5,48.4766,0.246776,ms,,,,,,-1,-1,-1,-1,-1,15040,12.032,-1,-1,48.4766,0,0.0624967,-1,0,15040,-1
"Xor_Nonpart_Scalar_4/MTCount/325/10/1/10000/100000000/10/iterations:5/manual_time",5,49.6747,0.279206,ms,,,,,,-1,-1,-1,-1,-1,16256,13.0048,-1,-1,49.6747,0,0.0624894,-1,0,16256,-1
"Xor_Nonpart_Scalar_4/MTCount/350/10/1/10000/100000000/10/iterations:5/manual_time",5,49.1754,0.249768,ms,,,,,,-1,-1,-1,-1,-1,17536,14.0288,-1,-1,49.1754,0,0.0625306,-1,0,17536,-1
"Xor_Nonpart_Scalar_4/MTCount/375/10/1/10000/100000000/10/iterations:5/manual_time",5,48.7139,0.248828,ms,,,,,,-1,-1,-1,-1,-1,18816,15.0528,-1,-1,48.7139,0,0.0625178,-1,0,18816,-1
"Xor_Nonpart_Scalar_4/MTCount/400/10/1/10000/100000000/10/iterations:5/manual_time",5,49.8151,0.228444,ms,,,,,,-1,-1,-1,-1,-1,20032,16.0256,-1,-1,49.8151,0,0.0625101,-1,0,20032,-1
"Xor_Nonpart_Scalar_4/MTCount/425/10/1/10000/100000000/10/iterations:5/manual_time",5,48.5226,0.241076,ms,,,,,,-1,-1,-1,-1,-1,21312,17.0496,-1,-1,48.5226,0,0.0625419,-1,0,21312,-1
"Xor_Nonpart_Scalar_4/MTCount/450/10/1/10000/100000000/10/iterations:5/manual_time",5,49.5077,0.22788,ms,,,,,,-1,-1,-1,-1,-1,22528,18.0224,-1,-1,49.5077,0,0.0624796,-1,0,22528,-1
"Xor_Nonpart_Scalar_4/MTCount/475/10/1/10000/100000000/10/iterations:5/manual_time",5,49.3772,0.242314,ms,,,,,,-1,-1,-1,-1,-1,23808,19.0464,-1,-1,49.3772,0,0.0624995,-1,0,23808,-1
"Xor_Nonpart_Scalar_4/MTCount/500/10/1/10000/100000000/10/iterations:5/manual_time",5,48.5265,0.22873,ms,,,,,,-1,-1,-1,-1,-1,25024,20.0192,-1,-1,48.5265,0,0.0625397,-1,0,25024,-1
"Xor_Nonpart_Scalar_4/MTCount/525/10/1/10000/100000000/10/iterations:5/manual_time",5,49.4295,0.248654,ms,,,,,,-1,-1,-1,-1,-1,26304,21.0432,-1,-1,49.4295,0,0.0625213,-1,0,26304,-1
"Xor_Nonpart_Scalar_4/MTCount/550/10/1/10000/100000000/10/iterations:5/manual_time",5,48.4727,0.230332,ms,,,,,,-1,-1,-1,-1,-1,27520,22.016,-1,-1,48.4727,0,0.0625251,-1,0,27520,-1
"Xor_Nonpart_Scalar_4/MTCount/575/10/1/10000/100000000/10/iterations:5/manual_time",5,49.5942,0.258966,ms,,,,,,-1,-1,-1,-1,-1,28800,23.04,-1,-1,49.5942,0,0.0625135,-1,0,28800,-1
"Xor_Nonpart_Scalar_4/MTCount/600/10/1/10000/100000000/10/iterations:5/manual_time",5,48.7491,0.227934,ms,,,,,,-1,-1,-1,-1,-1,30016,24.0128,-1,-1,48.7491,0,0.0625142,-1,0,30016,-1
"Xor_Nonpart_Scalar_4/MTCount/625/10/1/10000/100000000/10/iterations:5/manual_time",5,48.4197,0.242732,ms,,,,,,-1,-1,-1,-1,-1,31296,25.0368,-1,-1,48.4197,0,0.0624986,-1,0,31296,-1
"Xor_Nonpart_Scalar_4/MTCount/650/10/1/10000/100000000/10/iterations:5/manual_time",5,49.2296,0.233782,ms,,,,,,-1,-1,-1,-1,-1,32512,26.0096,-1,-1,49.2296,0,0.0625188,-1,0,32512,-1
"Xor_Nonpart_Scalar_5/MTCount/120/10/1/10000/100000000/10/iterations:5/manual_time",5,4.2e-05,0.00563,ms,,,,,,nan,nan,nan,nan,nan,7552,6.0416,nan,nan,nan,5,-1,nan,16,7552,nan
"Xor_Nonpart_Scalar_5/MTCount/140/10/1/10000/100000000/10/iterations:5/manual_time",5,44.5341,0.249716,ms,,,,,,-1,-1,-1,-1,-1,8768,7.0144,-1,-1,44.5341,0,0.0312795,-1,0,8768,-1
"Xor_Nonpart_Scalar_5/MTCount/160/10/1/10000/100000000/10/iterations:5/manual_time",5,44.9765,0.22717,ms,,,,,,-1,-1,-1,-1,-1,10048,8.0384,-1,-1,44.9765,0,0.0312621,-1,0,10048,-1
"Xor_Nonpart_Scalar_5/MTCount/180/10/1/10000/100000000/10/iterations:5/manual_time",5,44.4937,0.24031,ms,,,,,,-1,-1,-1,-1,-1,11264,9.0112,-1,-1,44.4937,0,0.0312676,-1,0,11264,-1
"Xor_Nonpart_Scalar_5/MTCount/200/10/1/10000/100000000/10/iterations:5/manual_time",5,44.5187,0.232744,ms,,,,,,-1,-1,-1,-1,-1,12544,10.0352,-1,-1,44.5187,0,0.0312506,-1,0,12544,-1
"Xor_Nonpart_Scalar_5/MTCount/220/10/1/10000/100000000/10/iterations:5/manual_time",5,45.2211,0.275458,ms,,,,,,-1,-1,-1,-1,-1,13760,11.008,-1,-1,45.2211,0,0.0312702,-1,0,13760,-1
"Xor_Nonpart_Scalar_5/MTCount/240/10/1/10000/100000000/10/iterations:5/manual_time",5,44.6858,0.246958,ms,,,,,,-1,-1,-1,-1,-1,15040,12.032,-1,-1,44.6858,0,0.0312465,-1,0,15040,-1
"Xor_Nonpart_Scalar_5/MTCount/260/10/1/10000/100000000/10/iterations:5/manual_time",5,45.2825,0.29514,ms,,,,,,-1,-1,-1,-1,-1,16256,13.0048,-1,-1,45.2825,0,0.0312553,-1,0,16256,-1
"Xor_Nonpart_Scalar_5/MTCount/280/10/1/10000/100000000/10/iterations:5/manual_time",5,44.3981,0.266258,ms,,,,,,-1,-1,-1,-1,-1,17536,14.0288,-1,-1,44.3981,0,0.031247,-1,0,17536,-1
"Xor_Nonpart_Scalar_5/MTCount/300/10/1/10000/100000000/10/iterations:5/manual_time",5,44.806,0.29797,ms,,,,,,-1,-1,-1,-1,-1,18816,15.0528,-1,-1,44.806,0,0.0312727,-1,0,18816,-1
"Xor_Nonpart_Scalar_5/MTCount/320/10/1/10000/100000000/10/iterations:5/manual_time",5,44.4226,0.254768,ms,,,,,,-1,-1,-1,-1,-1,20032,16.0256,-1,-1,44.4226,0,0.0312523,-1,0,20032,-1
"Xor_Nonpart_Scalar_5/MTCount/340/10/1/10000/100000000/10/iterations:5/manual_time",5,44.9304,0.281612,ms,,,,,,-1,-1,-1,-1,-1,21312,17.0496,-1,-1,44.9304,0,0.0312724,-1,0,21312,-1
"Xor_Nonpart_Scalar_5/MTCount/360/10/1/10000/100000000/10/iterations:5/manual_time",5,44.5009,0.269674,ms,,,,,,-1,-1,-1,-1,-1,22528,18.0224,-1,-1,44.5009,0,0.0312543,-1,0,22528,-1
"Xor_Nonpart_Scalar_5/MTCount/380/10/1/10000/100000000/10/iterations:5/manual_time",5,44.5325,0.285252,ms,,,,,,-1,-1,-1,-1,-1,23808,19.0464,-1,-1,44.5325,0,0.0312552,-1,0,23808,-1
"Xor_Nonpart_Scalar_5/MTCount/400/10/1/10000/100000000/10/iterations:5/manual_time",5,45.1841,0.25759,ms,,,,,,-1,-1,-1,-1,-1,25024,20.0192,-1,-1,45.1841,0,0.0312625,-1,0,25024,-1
